query_clean,predicted_label
american civil war definition aka,ambiguous
average cost per hospital day,ambiguous
where do the richest people in the world live,clear
what is felony misdemeanor,ambiguous
what is secondary syphilis,ambiguous
cost of mausoleum entombment,ambiguous
where is the pulmonary artery capillaries,clear
examples of a subordinate clause,clear
how long does it take to get a passport and how much does it cost,ambiguous
elvis sings what key,ambiguous
what stops r on mexican riviera cruise?,ambiguous
how long should you bake chicken legs,clear
what causes stiffness in hands,clear
full classification of cyprinus carpio,clear
why do retroviruses use reverse transcriptase,clear
is chicken halal,clear
in what type of blood vessels are materials exchanged with the body cells,clear
how much does wegmans pay an hour,ambiguous
how long do pineapples keep,ambiguous
what is pyrroloquinoline quinone,ambiguous
how to determine hoa fees,ambiguous
a kilocalorie of heat is required to raise the temperature of,clear
what is zyprexa prescribed for,ambiguous
what does a cumulonimbus look like,ambiguous
what is gist cancer,ambiguous
estimated cost of repair to a switch for electric auto window,ambiguous
what was the name of the android created in age of ultron,clear
normal range for triglycerides,ambiguous
difference between greek and roman culture,clear
what is an alias name vs preferred name,ambiguous
president elect elect,ambiguous
how far is beijing china from reykjavik iceland,clear
a spray to get rid of squirrels,clear
what is polyurethane used for,clear
what are three types of structures that help protists move,clear
average calories per day female,ambiguous
what does multicast querier mean,ambiguous
what are green peas good for,clear
cost to send a postcard,ambiguous
contagious infectious diseases,ambiguous
example of population in an ecosystem,ambiguous
what is a gluten allergy,ambiguous
are peppers harmful,clear
what is trait,ambiguous
how much urine in a day is normal,ambiguous
do dogs get ringworm,clear
what are the only multicellular protists,clear
what is warehouse management,ambiguous
what is a gnome,ambiguous
what does corporate culture mean,ambiguous
does a dark floor make a room smaller,clear
how long do hydros stay in your urine,ambiguous
how long should a pork roast cook in grill,clear
which amendment gave congress the power to levy taxes on personal income,clear
what kind of fossil is a petoskey stone,clear
what does wryd mean,ambiguous
oakwood university tuition cost,ambiguous
what does rms mean,ambiguous
how much do you make in a resort as a massage therapist,clear
what is chemotaxis,ambiguous
causes of lymphopenia,clear
what is a tawse,ambiguous
what is electrotherapy used for,clear
how long does it take to get your refund once they send it electronically,ambiguous
what is mucuna pruriens,ambiguous
what kingdom possess a nervous system,ambiguous
how is a whale like a human,ambiguous
is moosejaw legit,clear
tsh blood test normal range,ambiguous
is fruche yoghurt healthy,clear
ernest name meaning,ambiguous
what causes osteoarthritis flare up,clear
why is sport good for children,clear
what time was treaty of versailles signed at,clear
what prompted the civil rights movement,ambiguous
how many types of nucleotides are in dna and how do they differ,ambiguous
toxins bacteria produce,ambiguous
what is organophosphate,ambiguous
how to tell age of tire,clear
where is dr. nowzaradan from,clear
how do you cook sweet potatoes in the microwave,clear
what is rueda,ambiguous
harrison ford net worth,clear
how to remove spring loaded door hinges,ambiguous
where is ft lewis located,ambiguous
what picto sclera,ambiguous
what kind of rock is silver,clear
artridol what is,ambiguous
how to estimate what my business is worth,ambiguous
is there going to be another airbender movie,ambiguous
how to get to monza circuit,ambiguous
why was corrymeela founded,clear
what is meant by the term normal to the surface,ambiguous
what is average cost of wisdom teeth extraction,ambiguous
who is the protagonist in lysistrata,ambiguous
functional alcoholic definition,ambiguous
what is a wetland restoration,ambiguous
what is necrotizing fasciitis,ambiguous
uses of rocks in everyday life,ambiguous
what is a bulging artery,clear
average starting salary for preschool teacher,ambiguous
meaning of name claire,ambiguous
average private school tuition in canada,ambiguous
temp settings for baking a chicken,clear
ashpenaz name meaning,ambiguous
how much does a vauxhall cam belt fitting cost,ambiguous
where does the southern accent come from,clear
what is gullah culture,ambiguous
what does a company treasurer do,ambiguous
what are the names of the salivary glands located anterior to the ear,clear
can you connect to bluetooth through laptop,ambiguous
what is normal urine frequency per day,ambiguous
how much does uber pay,ambiguous
what is dna methylation,clear
who is david dukes kkk,ambiguous
what is deadline to file tax extension,ambiguous
what is cgrp monoclonal antibodies,ambiguous
what is gallbladder pancreatitis,ambiguous
what is a mussel?,ambiguous
who is ulysses s grant,ambiguous
how long the trip from manila to coron palawan,clear
lawyer salary per year,ambiguous
nestle condensed milk mayonnaise recipe,ambiguous
how much to pay for drywall work,ambiguous
what is a magnet?,ambiguous
walmart hours silver city,ambiguous
what is flaxseed oil,ambiguous
what type of pathogen is ebola,clear
what is the function of the hypothalamus,clear
what is megahertz a measurement of,clear
define processed food,ambiguous
ingredients of diphtheria tetanus vaccine,clear
can flexible hose on a kitchen faucet be replaced,ambiguous
when did the grand canyon form,ambiguous
what is thick waxy coating means in microbiology,ambiguous
when was amoxicillin discovered,ambiguous
what is a long ton,ambiguous
what is cephalexin used for in humans,clear
what are dangerous carbon monoxide levels,ambiguous
can you have a underscore in an email domain address name,ambiguous
what does zamboni do,ambiguous
how long do pickled eggs last in fridge,ambiguous
define db scheme is wound up,ambiguous
why does dissolved oxygen decrease as temperature increases,clear
what is a spine,ambiguous
what is an inherited disorder,ambiguous
hardware requirements for ecommerce website,ambiguous
what is rx symbol,ambiguous
what does a typical call center look like,ambiguous
what is the calculation that determines what a batters average is,ambiguous
how long can a cgis investigation last,ambiguous
what does it cost to fix a female dog,ambiguous
a fever is a rise in body temperature reading above,ambiguous
lancelot definition,ambiguous
how long to cook a cross rib roast,clear
average pay of carpenter,ambiguous
normal wbc count range,ambiguous
what is emc testing,ambiguous
the salary of a psychologist,clear
when should children exposed to hiv adults be immunized?,ambiguous
process of using dna to create rna,clear
what is hecate,ambiguous
is there a net torque on the loop of wire from the magnetic field,clear
what to do when a child does not listen,ambiguous
normal range of haemoglobin in australian medicine,ambiguous
average decor cost for wedding,ambiguous
how early can you start to have maternity benefit,ambiguous
concrete can hold moisture for how long?,ambiguous
who were the most important mayan gods,clear
what meter is used to write a sonnet,clear
should i take magnesium to gain muscles,clear
what is impressionistic writing,ambiguous
what is a ethical business practices,ambiguous
what are berms,ambiguous
average length of a golf course,clear
where in the brain are eye movements controlled,clear
what is chamoy,ambiguous
what is a shanty town,ambiguous
what does meristem culture,ambiguous
what function does your adrenal gland control,clear
what genes cause osteoporosis,ambiguous
how many types of slugs are there,ambiguous
where are habitats found,ambiguous
fl driver license number meaning,ambiguous
how long do artichoke seeds take to germinate,clear
what does jule mean,ambiguous
what is a poultice,ambiguous
what is chlorophyll used for,clear
what is nrf2 activator,ambiguous
how do you take mcafee off your computer,clear
how to cook pork loin rib rack roast,clear
is will smith really dead,clear
recommended dosage of magnesium for anxiety,clear
what biome is the netherlands in,ambiguous
what is a faraday,ambiguous
how much is a lawyer on retainer,ambiguous
desert description biome,ambiguous
can cancer treatment affect a man's metabolism,ambiguous
what is revival style preaching characteristics,ambiguous
is safflower the same as saffron,clear
